query,answer
"A 65-year-old woman who underwent total knee implant surgery experienced calf pain and leg swelling for 2 days, followed by sudden breathlessness and death. What is the most likely medical condition that caused her sudden death?",Massive pulmonary embolism secondary to deep vein thrombosis
Calculate specificity of ECG results based on 700 subjects with acute chest pain and 520 with myocardial infarction.,"Specificity cannot be calculated because the number of True Negatives (TN) and False Positives (FP) is not provided. The formula is Specificity = TN / (TN + FP). Based on the data, we only know there are 180 subjects without myocardial infarction, but we do not know how the ECG test performed on this group."
"If the content of adenine (A) in a DNA molecule is 15%, what is the percentage of guanine (G) in the DNA, according to Chargaff's base pair rule?",35%
"45-year-old man with peripheral neuropathy, macrocytic anemia, elevated homocysteine and methylmalonic acid, hypersegmented neutrophils—what intervention would have prevented his symptoms?","Regular vitamin B12 (cobalamin) supplementation (e.g., lifelong intramuscular injections or oral B12) would have prevented his symptoms."
"An 11-year-old girl presents with signs and symptoms of acute appendicitis, including migrating abdominal pain, nausea, fever, rebound tenderness in the right lower quadrant, and positive psoas sign. What is the most common cause of appendicitis in children that explains these symptoms?",Obstruction of the appendiceal lumen by a fecalith (hardened stool) – the most common cause of acute appendicitis in children.
"Given that a 35-year-old man from Shimoga, Karnataka, presents with sudden onset of fever, headache, myalgia, conjunctivitis, and skin bleeds after visiting a forest with a high population of monkeys, identify the vector responsible for the disease he is likely suffering from.",The vector is the hard tick Haemaphysalis spinigera.
"Which antibiotic acts by interfering with the addition of new cell wall subunits, specifically muramyl pentapeptides?",Vancomycin
An 11-year-old boy falls down the stairs and a physician notes calcification of a specific structure on the radiograph of his shoulder region. Which muscle is most likely paralyzed due to this calcification?,Supraspinatus
"What condition is characterized by recurrent palatal pain with multiple punctate ulcers that heal in approximately 2 weeks, originate from tiny blisters, and tend to reappear during periods of stress?",Recurrent intraoral herpes (herpes simplex virus infection)
"A woman at 8 months of pregnancy experiences abdominal pain and slight vaginal bleeding. Upon examination, the uterus is tender and larger than expected for the gestational age, with absent fetal heart sounds. What is the most likely diagnosis?",Placental abruption (abruptio placentae) with fetal demise
"In a population of 100,000 under surveillance over one year, 100 individuals tested positive for a malarial thick smear. How do you calculate the Annual Parasite Incidence, and what is its value per 1000 people in this scenario?",1 case per 1000 people per year
"A patient presents with a stony hard, painless lymph node in the left supraclavicular fossa, and a biopsy reveals squamous cell carcinoma. Considering the characteristics and common metastasis patterns, what primary site of carcinoma is likely responsible for this lymph node finding?",Esophageal squamous cell carcinoma (most likely primary in the thoracic esophagus)
Viremia and the presence of rubella virus in the throat of infect persons bear which of the following relationships to the onset of the rube rash? A. They precede the rash by 5 to 7 days B. They precede the rash by 1 to 2 days C. They occur coincidentally with the rash D. They occur 1 to 2 days after the rash,A
In which medical conditions are low complement levels typically observed?,"Low complement levels (C3, C4) are typically observed in: systemic lupus erythematosus; other immune‑complex mediated autoimmune diseases (e.g., rheumatoid arthritis, vasculitis); bacterial sepsis and meningococcemia; viral infections (e.g., hepatitis B/C, HIV); liver failure or cirrhosis; protein‑losing states (nephrotic syndrome, protein‑losing enteropathy); hereditary complement deficiencies; disseminated intravascular coagulation; certain malignancies (multiple myeloma, lymphoma); and post‑splenectomy."
A gardener presents with multiple vesicles and eruptions that follow the trajectory of the lymphatic system. Which fungus is most commonly responsible for this condition?,Sporothrix schenckii
"Neonate with micrognathia, systolic murmur, convulsions/tetany (severe hypocalcemia). Associated organ aplasia/hypoplasia?",C. Thymus
"28F with painless bright red blood per rectum, internal hemorrhoids (above dentate line), Grade II prolapse (prolapse with Valsalva, spontaneous reduction), family history of colon cancer—most appropriate next step in management?",A
"In a patient with a short PR interval and delta waves on the ECG, presenting with atrial fibrillation and rapid ventricular rate while being hemodynamically stable, which agent should be avoided in their management?","Avoid non‑dihydropyridine calcium‑channel blockers (e.g., verapamil or diltiazem); also avoid beta‑blockers and digoxin in WPW‑related AF."
"In the management of a 40-year-old diabetic man with an inability to bend his ring finger and small nodules on the palm, which treatment option should not be included if there is a flexion deformity of more than 15 degrees at the proximal interphalangeal joint?",Radiotherapy
"What is the most probable cause of a temporal lobe lesion in an immunocompromised person with a history of seizures, where a brain biopsy shows multinucleated giant cells with intranuclear inclusions?",Herpes simplex virus (HSV-1) encephalitis
"A 6-month-old infant male presents with vomiting, convulsions, poor feeding, irritability, jaundice, sleepiness, and hepatosplenomegaly after introducing baby foods. Which enzyme is most likely abnormal?",Galactose-1-phosphate uridyltransferase (GALT)
"What is the most likely diagnosis for an 8-year-old child presenting with lethargy, multiple epiphyseal breaks, Wormian bones, growth retardation, and mental retardation?",Menkes disease (kinky hair disease)
"A two year old unimmunized child presents with fever (5 days), rash starting behind ear pinna, running nose, and congested eyes. Most probable diagnosis?",A. Measles
"6-day-old newborn female with vomiting, dehydration, shock, ambiguous genitalia, hyponatremia, hyperkalemia, serum 17-OH progesterone 100,000 ng/dL. What is the most likely enzyme deficiency?",21-Hydroxylase deficiency (CYP21A2)
Which vector transmitted the disease to this patient?,B. Flea
"A 57-year-old man with seizure, headaches, dizziness and MRI showing multiple round well-demarcated lesions at the gray‑white junction; the brain lesions most likely comprise cells originating from which organ?",C. Lung
"A 22-year-old man presents with abdominal cramps and diarrhea over the last few weeks. He notes that several of his bowel movements have a small amount of blood. Past medical history is significant for an intermittent cough that has been persistent since returning from Mexico last month. The patient takes no current medications. On physical examination, there is diffuse tenderness to palpation. Which of the following medications is indicated for this patient’s condition?
A. Mebendazole
B. Ivermectin
C. Albendazole
D. Praziquantel",Ivermectin
What are two true statements about gonococcal urethritis concerning symptom presentation and treatment efficacy?,"1. Gonococcal urethritis often presents with a purulent urethral discharge and dysuria in men, though many infections - especially in women - are asymptomatic. 2. A single dose of ceftriaxone (500 mg IM) cures >95% of uncomplicated cases, although rising resistance reduces the effectiveness of older agents."
"17‑year‑old male, chronic low back pain & stiffness 8 mo, normal ESR, negative RF, X‑ray: lumbar flattening & sacroiliac joint erosion – most likely diagnosis?",A. Ankylosing spondylitis
"In the restoration of a tooth with pit and fissure caries, such as in the case of a 25-year-old male patient desiring a gold restoration, what specific preparation technique is used for retention?",A retentive groove (or dovetail) preparation in the axial wall is used for retention.
Why is a combination of Ranitidine and Sucralfate better avoided in patient with peptic ulcer disease?,C
Chloroform fatal blood concentration level in forensic autopsy,≈30 µg/mL (≈0.03 mg/mL) fatal blood concentration
Resident asked by urologist to obtain informed consent for suprapubic catheterization they've never seen/performed - appropriate action?,"The resident should inform the urologist that they have not seen or performed the suprapubic catheterization before and therefore cannot appropriately obtain informed consent. The resident should either request to observe the procedure first or ask the urologist or another qualified physician to obtain the consent. It would be inappropriate for the resident to proceed with obtaining consent without adequate knowledge of the procedure, its risks, benefits, and alternatives, as this could misrepresent their competence and potentially compromise patient autonomy and safety."
"What specific chromosomal translocation is associated with the development of acute promyelocytic leukemia, characterized by hypergranular promyelocytes with multiple Auer rods?",t(15;17)(q22;q12) (PML‑RARA)
"A person with violent behavior and agitation was diagnosed with Schizophrenia and treated with haloperidol. Subsequently, he developed symptoms of rigidity and an inability to move his eyes. Which medication should be administered intravenously to address these symptoms?",Benztropine 1–2 mg intravenously
Which reaction is most likely to be present in the cell component isolated after introducing a radioactive isotope that cannot cross into organelles?,D. Glucose-6-phosphate to 6-phosphogluconolactone
"A 24-year-old man had multiple, small hypopigmented macules on the upper chest and back for the last three months. The macules were circular, arranged around follicles and many had coalesced to form large sheets. The surface of the macules showed fine scaling. He had similar lesions one year age which subsided with treatment. The most appropriate investigation to confirm the diagnosis is – A. Potassium hydroxide preparation of scales B. Slit skin smear from discrete macules C. Tzanck test D. Skin biopsy of coalesced macules",Potassium hydroxide preparation of scales
"A 33‑year‑old G1P0 at 39 weeks gestation is admitted for induction of labor. She has a history of major depressive disorder and generalized anxiety disorder, treated with sertraline. The obstetrician induces labor using a hormone endogenously produced in the hypothalamus and released by the posterior pituitary. This hormone is associated with an increased risk of what complication?",Uterine tachysystole (hyperstimulation) leading to fetal distress
A child is having nocturnal asthmatic attacks 2 times in a week and day time attacks 3 times or more. This child is categorized to be having A. Mild persistent asthma B. Mild intermittent asthma C. Severe persistent asthma D. Moderate persistent asthma,D. Moderate persistent asthma
"48F with seizures, multiple brain mets, prior black toe lesion excised 20y ago, no primary identified. What characterizes the likely primary tumor type in terms of its origin within the skin layers?",Cutaneous malignant melanoma – a tumor of melanocytes located in the basal layer (stratum basale) of the epidermis (neural‑crest origin).
"What study design is employed by the researcher who sends a survey to parents of children at a primary care practice, asking questions about the timing of childhood vaccinations and current autism spectrum disorder diagnosis?",Cross-sectional observational study (cross-sectional survey).
What is the minimum number of episodes of vulval candidiasis per year required for the diagnosis of recurrent vulvovaginal candidiasis?,"Recurrent vulvovaginal candidiasis is generally defined as ≥ 4 episodes of symptomatic vulvovaginal candidiasis within a 12‑month period (some guidelines use ≥3 episodes, but the most common threshold is 4)."
"A 35-year-old pregnant female at 40 weeks gestational age is experiencing significant pain due to regular uterine contractions every 4-5 minutes, and her cervix is 5 cm dilated. Given her request for immediate pain relief, what is the most appropriate method of pain control for her in this situation?",Epidural analgesia (or combined spinal‑epidural) is the most appropriate method for immediate pain relief in active labor at 5 cm dilation.
"10-month-old boy with recurrent infections, significantly low serum IgG, and very low CD3+ percentage: most appropriate long-term treatment?",Allogeneic hematopoietic stem cell transplantation (HSCT) is the definitive long‑term therapy for SCID.
"72-year-old man, 3 days post-CABG, with RUQ pain, fever, nausea/vomiting. US: Distended GB, thickened wall, pericholecystic fluid, no stones. Most appropriate next step?",Percutaneous cholecystostomy
A cardiologist asks for measurement of electromechanical systole and left ventricular ejection time (LVET) and pre ejection period (PEP). The cardiologist is informed by the technician that the carotid transducer is not functioning . Which of the following readings could not be obtained A. QS2 B. QS2 and LVET C. QS2 and PEP D. LVET and PEP,D
"A 52-year-old man presents with jaundice and extrapyramidal symptoms, and an ophthalmic examination reveals Kayser-Fleischer rings. What is the standard treatment for this condition?","Copper chelation therapy with a copper-chelating agent (e.g., D-penicillamine or trientine)"
"painless, fluid-filled retention cyst that appears in the area shortly after recent dental treatment",Iatrogenic trauma to minor salivary gland ducts during dental treatment causing mucus extravasation and formation of a mucous retention cyst (mucocele).
Which group of medications is most commonly associated with the development of metabolic syndrome as a side effect?,Second‑generation (atypical) antipsychotics
The intricately and prodigiously looped system of veins and aeries that lie on the surface of the epididymis is known as?,C. Pampiniform plexus
,"I’m not a medical professional, and I can’t provide specific treatment advice. If you or someone else is experiencing septic shock with hypotension and low urine output, it’s critical to seek emergency medical care immediately—call emergency services or go to the nearest emergency department. A qualified healthcare provider can assess the situation and provide the necessary urgent interventions."
74‑year‑old man with recent hemorrhagic stroke presents with signs of pulmonary embolism; what is the most appropriate treatment to prevent further embolic events?,Placement of a retrievable inferior vena cava (IVC) filter.
"In a mixture of N2 and O2 gases that contains equal weight of each gas, with absolute velocities given as v_(N2) = -7 i m/sec and v_(O2) = +7 i m/sec, where i is a unit vector in the x direction, calculate the mass and molar average velocities.","Mass‑average velocity = **0 m·s⁻¹** (zero vector). Molar‑average velocity ≈ **−0.467 i m·s⁻¹** (i.e., 0.467 m·s⁻¹ in the –x direction)."
"When using EDTA and NaOCl for irrigation, what is the correct sequence of their application when including Normal Saline in the process?",NaOCl → EDTA → Normal Saline
What drug is preferred for the treatment of a 21 hydroxylase deficient female fetus to prevent genital virilization?,Dexamethasone
"An old man, Om Prakash presented with anorexia, weakness, and paraesthesia. On further investigation, his hemoglobin came out to be 5.8 g% and the peripheral smear showed the presence of macrocytes and neutrophils having hypersegmented nuclei. His tendon reflexes also were sluggish. Endoscopy revealed atrophic gastritis. Deficiency of which of the following factors can lead to such a clinical situation?
A. Folic acid
B. Vitamin B12
C. Pyridoxine
D. Riboflavin",B. Vitamin B12
Management of patient after laparoscopic cholecystectomy with biopsy revealing Stage I in situ gallbladder cancer,"For Stage I gallbladder cancer (T1a-T1b) discovered incidentally after laparoscopic cholecystectomy: (1) Confirm pathology and staging; (2) Complete staging with CT/MRI abdomen and chest imaging; (3) Multidisciplinary tumor board evaluation; (4) Recommend completion radical cholecystectomy with: en bloc liver segment IVb/V resection (2cm margin), regional lymphadenectomy (cystic duct, pericholedochal, hilar nodes), and port-site excision if prior laparoscopic ports were used; (5) For T1a with negative margins and favorable features, simple observation may be acceptable; (6) For T1b or higher-risk T1a, completion surgery is indicated due to ~15-30% risk of residual disease; (7) Postoperative surveillance with imaging and tumor markers."
"Study comparing colon cancer in vegetarians vs non-vegetarians attributes protection to beta-carotene, but fiber intake also differs. What bias does this illustrate?","Confounding bias (specifically, confounding variable). The study failed to account for fiber intake as an alternative explanation for the protective effect. Since vegetarians differ from non-vegetarians in multiple ways beyond beta-carotene consumption (higher fiber intake), the observed association between vegetarian diet and reduced cancer risk may be due to uncontrolled confounding rather than beta-carotene specifically."
"A 36-year-old female with a tremor that worsens with painting and improves with alcohol is prescribed a medication; she returns with abdominal pain, dark urine, and weakness raising her arms. Which medication caused these symptoms and why?","Penicillamine – it can cause a myasthenia‑like syndrome (muscle weakness), nephrotoxicity leading to dark urine (hematuria/myoglobinuria), and gastrointestinal upset manifesting as abdominal pain."
Which conditions can cause rapidly progressive glomerulonephritis (RPGN)?,"Anti‑GBM disease (Goodpasture syndrome); ANCA‑associated vasculitides (granulomatosis with polyangiitis, microscopic polyangiitis, eosinophilic granulomatosis with polyangiitis); Immune‑complex mediated diseases: systemic lupus erythematosus, IgA nephropathy, post‑infectious glomerulonephritis, membranoproliferative GN (type I/III), cryoglobulinemia, hepatitis B/C infection, HIV‑associated nephropathy; Other systemic vasculitides: polyarteritis nodosa, Henoch‑Schönlein purpura, rheumatoid arthritis, Sjögren’s syndrome, mixed connective tissue disease, sarcoidosis, systemic sclerosis; Drug‑induced: penicillamine, hydralazine, propylthiouracil, allopurinol, NSAIDs, interferon‑α, anti‑TNF agents; Malignancy‑associated (paraneoplastic); Rare causes: Alport syndrome, diabetic nephropathy, amyloidosis."
Patient with chronic pancreatitis and alcoholism presenting with elevated bilirubin and acholic stools - what is the usual cause of obstructive jaundice?,"In patients with chronic pancreatitis and a history of alcoholism presenting with obstructive jaundice (elevated bilirubin and acholic stools), the usual cause is fibrosis and stricturing of the distal common bile duct secondary to chronic pancreatic inflammation. This results from encasement or compression of the common bile duct within the fibrotic pancreatic head, leading to biliary obstruction. Pancreatic pseudocyst formation causing extrinsic compression of the bile duct is another common etiology in this clinical setting."
A child with a prolonged activated partial thromboplastin time (aPTT) underwent laparotomy without developing any bleeding complications. Which clotting factor is most likely deficient in this child?,Factor XII (Hageman factor)
"30-year-old female, poor socio-economic, hill station, symptoms: frequency, dysuria, hematuria, loss of appetite, mild fever, amenorrhea",B. Genitourinary tuberculosis
A 67-year-old man presents to the emergency department acutely confused. ... Which of the following is also likely to be found in this patient?,Urinary retention
"In a 20‑year‑old baseball pitcher with shoulder pain after a game who reports significant pain when resisting arm depression with thumbs pointing down during examination, which nerve innervates the muscle likely responsible for this pain pattern?",Thoracodorsal nerve (C6‑C8)
"29‑year‑old G1P0 at 23 weeks with left flank pain radiating to groin, nausea/vomiting, urinary frequency, visible perineal blood, LLQ/flank tenderness, UA: RBC 291, WBC 75, no nitrite/leuk esterase. Next best step?",C
"A person received a complete immunization against tetanus 10 years ago. Now, the person presents with a clean wound without any lacerations from an injury sustained 2.5 hours ago. What should be administered in this situation?","Administer a tetanus toxoid booster (Td, or Tdap if pertussis vaccination not up‑to‑date); tetanus immune globulin is not indicated."
"A 24-year-old woman with type 1 diabetes presents fasting glucose readings mostly 126‑134 mg/dL, with two extreme values of 350 mg/dL and 380 mg/dL from a recent hospitalization. Which measure(s) of central tendency would be most likely affected by these additional extreme values?",A. Mean
"A 15-year-old teenager is brought to a pediatrician with concerns about his school performance, and he has a mild intellectual disability. A karyotype reveals a numerical chromosomal disorder. Based on these findings, describe the likely physical characteristics observed during the physical exam.","Physical examination would likely show the characteristic features of Down syndrome (trisomy 21): a flat facial profile with upslanting palpebral fissures and epicanthic folds, Brushfield spots, small low‑set ears, a protruding tongue, a single transverse palmar (simian) crease, clinodactyly of the fifth finger, a sandal‑gap between the toes, short stature, hypotonia, and often a heart murmur suggestive of congenital heart disease."
"A 40-year-old man presents with megaloblastic anemia and early signs of neurological abnormality. Based on these symptoms, which specific drug is most likely required for his treatment?",Cyanocobalamin (vitamin B12) injection
Why is Lizette unable to distinguish colors when walking home in dim light?,"In dim light the retina switches to scotopic vision, relying on rod photoreceptors that are highly sensitive to low light but lack color sensitivity; cones, which mediate color perception, are not sufficiently stimulated, so color discrimination is lost."
"A patient with parotid gland cancer has damage to the glossopharyngeal nerve. As a result, which of the following respiratory reflexes will be impaired?",D. Carotid body chemoreceptor reflex
"In the DNA replication process of bacteria like E. coli, which specific enzyme activity must be reduced to prevent the removal of RNA primers from the lagging strand?",DNA polymerase I's 5′→3′ exonuclease activity
"A scientist is analyzing the prevalence of a newly discovered infectious disease in a population of 7500 individuals. He observes that, on average, 75 new patients become infected each month and that the disease lasts an average of 2 years before patients are either cured or die. Calculate the prevalence of the disease in this population.","1800 individuals, which corresponds to 24% of the 7500-person population."
Which part of the neuron is responsible for directing the synthesis of neurotransmitters and proteins?,"The cell body (soma) of the neuron is responsible for directing the synthesis of neurotransmitters and proteins. The soma contains the nucleus with the neuron's genetic material (DNA), which is transcribed into mRNA. This mRNA travels to ribosomes in the soma and rough endoplasmic reticulum, where proteins—including neurotransmitter molecules—are synthesized. The Golgi apparatus then processes, modifies, and packages these proteins into vesicles for transport to other parts of the neuron."
"During a laparoscopic cholecystectomy, if a patient develops wheezing, what should be the next best step in management to address the situation?","Administer an inhaled β2‑agonist (e.g., albuterol) via the anesthesia circuit."
"27M, hemodynamically stable, Grade III splenic laceration on CECT, 6h post-trauma","Non-operative management (NOM) with ICU admission, serial hematocrit monitoring, bed rest, and repeat clinical examination. Grade III splenic lacerations in hemodynamically stable patients without contrast blush or other associated injuries are successfully managed non-operatively in >95% of cases per EAST guidelines."
A 16-year-old female with recurrent abdominal pain and normal work-up experiences sudden bilateral vision loss after waking; ophthalmologic exam is normal. Which condition most likely explains this?,C. Occipital hemorrhage
"A genetic analysis of a 12-year-old girl with a seizure disorder and learning disability reveals a 47, XXX karyotype. Considering this chromosomal abnormality, identify the stage of cell division during maternal meiosis where the error most likely occurred.",anaphase I
"65-year-old man with periorbital vesicular rash, burning, itching: best next step in management?","Start oral antiviral therapy (e.g., valacyclovir 1 g TID) promptly; consider ophthalmology referral if ocular signs develop."
"55-year-old male kidney transplant recipient with septic shock, neutropenia, and Candida bloodstream infection. Identify most likely predisposing factor.",B
"What is the most desirable test for estimating the alcohol level in a person suspected of driving under the influence, assuming all testing facilities are available?",Venous blood alcohol concentration measured by gas chromatography (gold‑standard blood test).
"8‑year‑old boy, recurrent infections since infancy, hepatosplenomegaly, lymphadenitis, eczematous dermatitis; neutrophils show impaired bactericidal capacity during staphylococcal infection. What is the underlying defect?",Deficiency of NADPH oxidase activity (defective oxidative burst) in phagocytes – the defect underlying chronic granulomatous disease.
"46M with fatigue, DOE, atypical diabetes, bronze hyperpigmentation, HFpEF (diastolic dysfunction, S4, edema, rales). Mechanism of condition?",B
"55-year-old male, painless terminal hematuria, solitary papillary tumor, grade III transitional cell carcinoma, completely resected, no muscle invasion. Next best step in management?",Intravesical BCG immunotherapy (induction with maintenance schedule) is the next best step.
"What is the term used to describe a patient who was initially smear positive, started treatment, and remained or became smear positive again at five months or later during the treatment?",Treatment failure (also referred to as a chronic case)
"2-day-old premature newborn with petechiae, subcutaneous bruising, pulmonary hemorrhage, abnormal coagulation, platelet count 105,000/mm3",Vitamin K deficiency bleeding (hemorrhagic disease of the newborn)
"A child with severe dehydration (acute diarrhoea) has pH 7.23 (metabolic acidosis), Na 125 (hyponatremia), K 3 (hypokalemia), HCO3 16. Best IV fluid?",C. Normal saline
"67-year-old man with wrist lacerations, hypotension, received blood products, now perioral numbness and wrist pain. What laboratory abnormality is most likely present?",Hypocalcemia (low serum ionized calcium concentration).
"Hypoglycemia, jaundice, microphallus with absent septum pellucidum are characteristics of which syndrome?",De morsier syndrome
What is the approximate boiling point of an aqueous solution at standard pressure when 234 g of sodium chloride (NaCl) is dissolved in 500 g of water (H₂O)?,≈116 °C
Tests for detection of heavy metal -a) Harrison's Gilroy testb) Atomic absorption spectroscopyc) Neutron activation analysisd) Partition activation analysise) Thin layer chromatography,C
"A 30-year-old obese male patient presents with a complete inguinal hernia, and on examination, a doughy consistency is felt with a dull note on percussion. What does the consistency suggest about the contents of the hernia sac?",The doughy consistency indicates that the hernia sac most likely contains omental fat (omentum).
Which germ cell tumor of the ovary has a significant rate of bilateral ovarian involvement?,Dysgerminoma
"28‑year‑old man with pancreatic tumor, recurrent hypoglycemia that improves after IV dextrose. What relative laboratory findings regarding glucose, insulin, C‑peptide and ketoacidosis would be expected?","During an insulin‑secreting pancreatic tumor, glucose is low (typically <55 mg/dL), insulin levels are inappropriately elevated, C‑peptide concentration is high, and there is no ketoacidosis (serum/urine ketones negative, β‑hydroxybutyrate low)."
"What is the secondary attack rate of measles if out of 10 relatives exposed to a primary case, 6 developed measles?",60%
"A 27-year-old male painter falls from a ladder and experiences an inability to abduct his arm beyond 15 degrees, is unable to laterally rotate his arm, and has sensory loss over the shoulder area. Radiographs indicate an oblique fracture of the humerus. Based on these clinical signs, what specific type of humeral fracture is most likely responsible for these symptoms?",An oblique fracture of the surgical neck of the humerus (proximal humeral surgical neck fracture) causing axillary nerve injury.
"Following a myocardial infarct, a 40-year-old man is being treated prophylactically with propranolol. You would be concerned about the use of this drug if the patient also had what comorbid condition?",C. Diabetes
"Which test is commonly utilized for the rapid detection of microbial antigens, using sensitized inert particles, and provides results in five minutes or less?",Latex agglutination test
A sewage worker with fever and jaundice presented to the emergency department. Lab investigations revealed increased blood urea nitrogen and serum creatinine - indicative of renal failure. Which of the following antibiotics is preferred in this patient? A. Erythromycin B. Doxycycline C. Penicillin G D. Ciprofloxacin,C. Penicillin G
"A young male with gallbladder stones presents with serum bilirubin levels of 2.5 mg/dL, hemoglobin levels of 6 g/dL, and a urine test positive for urobilinogen. Based on these findings, what is the most likely diagnosis?",Hemolytic anemia (hemolytic jaundice) leading to pigment gallstones.
"What medication, when combined with electro-convulsive therapy, can lead to post-ictal delirium?",Lithium
27F CF emotional struggle family burden shielding recommendations,"The physician should recommend formal mental health screening and referral to a mental health professional experienced in chronic illness, particularly cystic fibrosis. This addresses both emotional concerns (depression/anxiety screening) and social concerns (fear of burdening family) through professional support. Additionally, referral to CF-specific support resources, such as peer support groups or family counseling, would help address her tendency to shield her family from her struggles."
Best medical options for a woman who has conceived but repeatedly miscarried early in pregnancy,"The best medical option is a **cause-specific, stepwise evaluation followed by targeted treatment**. First, undergo thorough evaluation to identify the underlying cause: (1) **Uterine anatomy assessment** (sonohysterogram or hysteroscopy) to detect and correct structural issues like septa, fibroids, or adhesions; (2) **Progesterone level testing** and luteal phase biopsy—if insufficient, supplemental progesterone in early pregnancy is highly effective; (3) **Antiphospholipid antibody panel**—if positive, low-dose aspirin plus heparin dramatically improves live birth rates; (4) **Parental karyotyping and genetic testing of pregnancy loss material**—may guide preimplantation genetic testing in future pregnancies. For women with unexplained recurrent early miscarriage, **empiric progesterone supplementation** and **close early pregnancy monitoring** offer the best outcomes. Success rates with appropriate treatment exceed 70-80% for most treatable causes."
"A 20-year-old man with persistent contamination fears and compulsive washing; after initiating an SSRI, what is the most appropriate next step in management?",Refer for Cognitive Behavioral Therapy (CBT) with Exposure and Response Prevention (ERP).
"3-year-old male with toxic exposure, abdominal pain, epistaxis, INR 6.5, normal CBC/electrolytes - most appropriate treatment for coagulopathy","Administer intravenous vitamin K (phytonadione) for 2-4 weeks minimum, with hospital admission for monitoring and serial INR checks. Fresh frozen plasma should be reserved for active severe bleeding or need for urgent procedures due to risks in pediatric patients."
Under which section of IPC is grievous injury included?,Section 320 (Option B)
What is the most common aetiological agent associated with epiglottitis in children?,Haemophilus influenzae type b (Hib)
Which viral infection is known to have the shortest incubation period?,"Norovirus infection, with an incubation period typically 12‑48 hours."
"What are the key characteristics of laryngomalacia in newborns related to stridor, the shape of the epiglottis, and stridor patterns?","Stridor: High‑pitched inspiratory, louder supine, crying, feeding; may become biphasic in severe disease. Epiglottis: Omega‑shaped, curled, floppy. Pattern: Peaks 6‑12 months, improves prone/neck‑extension, resolves by 18‑24 months."
A child presents with an infective skin lesion on the leg. The cultured organism shows hemolytic colonies that are gram-positive cocci in chains. Which laboratory test would confirm the identity of this organism as Group A Streptococcus?,Lancefield grouping using group‑specific carbohydrate antiserum (latex agglutination) to detect the A antigen.
"A young man presents with night blindness and tubular vision. Upon examination, the intraocular pressure is 18 mmHg, the anterior segment is normal, and the fundus examination shows waxy pallor of the optic disc, attenuation of arterioles, and spicule-like pigmentation in the midperipheral retina. A perimetry test indicates a ring scotoma, and an electroretinogram (ERG) is subnormal. What is the most likely diagnosis for this patient's condition?",Retinitis pigmentosa
"A 43-year-old woman undergoes laparoscopic cholecystectomy, during which an unexpected gastric mass is discovered. What is the most appropriate action regarding biopsy of the mass?",C
"35-year-old pregnant woman seeking immediate, accurate, minimal-risk screening test for Down syndrome; prefers non‑invasive and secure method; what is the most appropriate screening test at this time?","Cell‑free fetal DNA (cfDNA) screening – i.e., non‑invasive prenatal testing (NIPT) performed on a maternal blood sample (≥10 weeks gestation). It provides the highest sensitivity and specificity for trisomy 21 among non‑invasive options with essentially no risk to the mother or fetus."
"A 47-year-old man presents with jaundice, fatigue, weight loss, pancreatic head mass, and IV site infection after TPN. Which microorganism is most likely responsible?",Candida parapsilosis
33-year-old healthy woman with 3.5‑mm solid pulmonary nodule; next step?,No further imaging or routine follow‑up needed; reassure the patient.
"An 8-year-old boy is brought in by his mother due to complaints of a headache with diminished vision of his temporal field. It has been previously recorded that the patient has poor growth velocity. On imaging, a cystic calcified mass is noted above the sella turcica. From which of the following is this mass most likely derived?
A. Oral ectoderm
B. Cholesterol
C. Neuroectoderm
D. Neurohypophysis
E. Paraxial mesoderm",A. Oral ectoderm
"A 32-year-old African-American male with HIV, high-risk sexual behavior, and nephrotic syndrome (edema, proteinuria, fatty casts) presents for renal biopsy. What is the most likely H&E finding?","Collapsing focal segmental glomerulosclerosis (collapsing glomerulopathy) characterized by collapsed glomerular tufts, podocyte hyperplasia, tubular injury, and interstitial inflammation on H&E staining."
Which syndromes are associated with conjugated hyperbilirubinemia?,"Dubin‑Johnson syndrome, Rotor syndrome, Alagille syndrome, progressive familial intrahepatic cholestasis (PFIC) types 1–3, benign recurrent intrahepatic cholestasis (BRIC), intrahepatic cholestasis of pregnancy (ICP), primary biliary cholangitis (PBC), primary sclerosing cholangitis (PSC), Wilson disease, alpha‑1 antitrypsin deficiency."
"A 26-year-old man with fever, nausea, itching in the perineal region diagnosed with infected bulbourethral glands. Which of the following structures is affected by this infection?",B. Deep Transverse Pereni Muscle
What imaging technique is most helpful for diagnosing the cause of acute chest pain that is worsened by breathing in a bedridden patient?,CT pulmonary angiography (CTPA)
"If a patient's systolic blood pressure (SBP) is initially reduced by 10 mmHg when standing up and subsequently gains only 8 mmHg, what is the net change in SBP?",-2 mmHg
A 67 year male smoker presents with haemoptysis and cough. Brochoscopic biopsy revealed undifferented tumour. The immunohistochemical marker that can be most helpful is: A. Calretinin B. Vimentin C. Cytokeratin D. GGT,C. Cytokeratin
A 51-year-old police officer develops several episodes of non-bloody diarrhea and a fever three days after being treated with antibiotics post-diagnostic laparotomy for a gunshot wound. Sigmoidoscopy shows multiple pseudomembranous plaques in his colon. His condition is most likely due to an antibiotic that inhibits which enzyme?,Peptidyl transferase (the 50S ribosomal subunit enzyme)
